student,overall_placement_scale_score,scale_score,no_number_and_operations,alg_algebra_and_algebraic_thinking,ms_measurement_and_data,geo_geometry,typical_growth,stretch_growth,diagnostic_date,attendance_rate,tardies_ytd,behavior_incidents_ytd,positive_behavior_points,engagement_rating_1_5,at_risk_behavior_flag
"SCOTT, Lucas",Grade 5 (554),554,Grade 4,Grade 6,Grade 5,Grade 5,36,53,05/10/26,94.7,1,3,5,2,Yes
"JONES, Everly",Grade 3 (509),509,Grade 2,Grade 4,Grade 3,Late Grade 1,25,45,01/04/26,98.2,9,0,41,3,No
"VASQUEZ, Aurora",Early K (332),332,Early K,Early K,Late K,Early K,36,44,04/19/26,90.0,8,0,11,5,No
"AGUILAR, Sebastian",Grade 7 (594),594,Grade 8,Grade 5,Grade 6,Grade 5,29,36,04/04/26,95.9,8,0,30,4,No
"GOMEZ, Aaliyah",Emerging K (168),168,Emerging K,Mid K,Mid K,Emerging K,23,34,05/26/26,92.7,11,5,48,3,Yes
"ROBINSON, Leo",Grade 2 (500),500,Grade 3,Grade 2,Grade 2,Grade 2,30,42,03/22/26,90.1,10,4,21,5,Yes
"CLARK, Aiden",Grade 4 (533),533,Grade 3,Grade 2,Grade 6,Grade 2,36,49,06/25/26,95.7,4,0,42,5,No
"JACKSON, Claire",Late Grade 1 (461),461,Late Grade 1,Early Grade 1,Late Grade 1,Early Grade 1,45,60,06/15/26,93.2,11,2,50,2,No
"ROBINSON, Theodore",Grade 7 (584),584,Grade 8,Grade 7,Grade 6,Grade 6,36,42,02/16/26,97.1,3,1,35,5,No
"VASQUEZ, Audrey",Grade 4 (524),524,Grade 5,Grade 6,Grade 3,Grade 3,26,36,06/23/26,97.3,8,1,10,5,No
"TAYLOR, Penelope",Grade 2 (488),488,Grade 2,Grade 3,Mid Grade 1,Late Grade 1,37,57,01/26/26,91.2,2,3,49,5,Yes
"BROWN, Ethan",Late K (393),393,Early Grade 1,Emerging Grade 1,Mid K,Mid K,28,36,03/03/26,92.5,11,1,12,4,No
"CAMPBELL, James",Late K (391),391,Emerging Grade 1,Early Grade 1,Early K,Late K,21,32,04/14/26,89.2,12,2,50,2,No
"PHILLIPS, Charles",Mid Grade 1 (444),444,Late Grade 1,Emerging Grade 1,Grade 2,Late Grade 1,30,39,03/27/26,93.1,13,0,18,2,No
"LOPEZ, Kennedy",Mid Grade 1 (450),450,Grade 2,Emerging Grade 1,Mid Grade 1,Grade 2,35,46,04/10/26,91.4,5,5,21,2,Yes
"ALVAREZ, Willow",Grade 3 (508),508,Late Grade 1,Grade 2,Grade 4,Grade 4,29,39,01/18/26,91.5,9,0,22,4,No
"ESTRADA, Skylar",Mid K (362),362,Emerging Grade 1,Late K,Emerging K,Early K,30,36,06/10/26,88.1,10,0,44,4,No
"ALVAREZ, Logan",Early K (333),333,Emerging K,Mid K,Emerging K,Early K,32,50,06/27/26,89.7,11,0,30,3,No
"MORALES, Mateo",Grade 7 (591),591,Grade 8,Grade 6,Grade 8,Grade 6,21,29,02/13/26,91.8,6,3,41,4,Yes
"RIVERA, Elena",Grade 2 (493),493,Grade 2,Grade 3,Grade 2,Mid Grade 1,23,31,01/04/26,89.0,8,0,1,4,No
"WALKER, Everly",Mid K (379),379,Emerging K,Emerging Grade 1,Early K,Late K,35,53,03/19/26,91.7,12,2,50,4,No
"RODRIGUEZ, Ellie",Late K (398),398,Early Grade 1,Emerging Grade 1,Early K,Early Grade 1,38,46,02/22/26,91.9,8,1,11,1,No
"SMITH, Savannah",Early K (329),329,Early K,Early K,Emerging K,Mid K,44,50,01/04/26,86.4,10,1,27,5,No
"GARCIA, Charles",Mid K (357),357,Emerging Grade 1,Mid K,Emerging Grade 1,Late K,24,44,06/11/26,81.1,9,0,34,4,Yes
"GOMEZ, Isaiah",Late Grade 1 (462),462,Mid Grade 1,Early Grade 1,Mid Grade 1,Mid Grade 1,29,40,02/20/26,89.0,7,0,46,4,No
"NELSON, Isabella",Mid K (368),368,Early K,Late K,Late K,Emerging K,28,46,06/05/26,88.7,10,2,40,4,No
"WILSON, Sebastian",Early Grade 1 (437),437,Late Grade 1,Emerging Grade 1,Mid Grade 1,Emerging Grade 1,30,48,04/01/26,93.8,8,0,34,2,No
"WILLIAMS, Ethan",Mid Grade 1 (452),452,Mid Grade 1,Mid Grade 1,Early Grade 1,Early Grade 1,28,33,01/13/26,94.3,8,4,50,5,Yes
"GREEN, Jackson",Late Grade 1 (470),470,Grade 3,Grade 2,Early Grade 1,Grade 3,31,45,05/09/26,87.8,4,0,48,3,No
"BAKER, Julian",Early Grade 1 (433),433,Mid Grade 1,Late Grade 1,Emerging Grade 1,Early Grade 1,20,29,06/05/26,94.0,12,0,46,4,No
"MENDOZA, Camila",Late Grade 1 (474),474,Grade 2,Mid Grade 1,Grade 2,Late Grade 1,45,64,05/10/26,92.3,11,4,14,3,Yes
"HERRERA, Mia",Late K (391),391,Early K,Early K,Early K,Mid K,22,32,05/02/26,92.5,11,4,0,5,Yes
"WRIGHT, Theodore",Grade 5 (545),545,Grade 6,Grade 6,Grade 7,Grade 7,42,50,04/01/26,90.3,2,1,45,3,No
"JONES, Asher",Mid K (379),379,Emerging Grade 1,Emerging Grade 1,Emerging K,Emerging Grade 1,34,44,06/25/26,87.7,9,0,8,4,No
"LEE, Mateo",Emerging Grade 1 (406),406,Emerging Grade 1,Mid K,Emerging Grade 1,Late K,37,45,03/10/26,88.7,9,0,40,4,No
"HERRERA, Chloe",Grade 5 (557),557,Grade 3,Grade 6,Grade 7,Grade 6,21,37,01/20/26,92.8,7,0,22,5,No
"MOORE, Scarlett",Late K (384),384,Emerging Grade 1,Emerging Grade 1,Mid K,Early K,36,45,04/04/26,90.7,9,2,16,3,No
"DAVIS, John",Emerging Grade 1 (406),406,Mid Grade 1,Emerging Grade 1,Mid K,Early Grade 1,41,60,02/05/26,89.1,12,0,45,3,No
"ESTRADA, Sebastian",Emerging K (201),201,Early K,Mid K,Early K,Emerging K,25,36,04/22/26,90.1,10,1,31,5,No
"CRUZ, Willow",Mid K (380),380,Late K,Emerging Grade 1,Late K,Early K,23,31,01/05/26,91.8,13,2,15,1,No
"LEE, Layla",Grade 7 (581),581,Grade 8,Grade 8,Grade 7,Grade 7,35,42,04/08/26,92.8,2,0,17,4,No
"MENDOZA, Aria",Late Grade 1 (474),474,Mid Grade 1,Grade 2,Early Grade 1,Grade 3,39,49,02/28/26,89.2,5,0,8,3,No
"LEE, Logan",Emerging K (151),151,Emerging K,Emerging K,Early K,Early K,36,50,06/21/26,90.7,10,1,3,4,No
"PEREZ, Hudson",Mid K (364),364,Mid K,Mid K,Mid K,Late K,27,42,01/06/26,90.7,10,2,13,3,No
"PHILLIPS, Lily",Emerging K (147),147,Early K,Early K,Early K,Early K,29,37,01/22/26,92.4,11,3,21,3,Yes
"ROBERTS, Luke",Early Grade 1 (432),432,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Late Grade 1,32,39,01/05/26,88.8,6,0,41,5,No
"HARRIS, Sebastian",Grade 5 (543),543,Grade 7,Grade 7,Grade 5,Grade 5,43,63,02/18/26,95.0,5,0,35,4,No
"HILL, Aaliyah",Grade 7 (592),592,Grade 8,Grade 5,Grade 8,Grade 5,35,53,05/17/26,96.9,4,0,8,3,No
"SANCHEZ, Josiah",Grade 2 (487),487,Grade 3,Grade 3,Grade 4,Grade 4,22,32,04/25/26,89.5,7,0,38,3,No
"GARCIA, Scarlett",Early K (334),334,Emerging K,Late K,Mid K,Mid K,27,41,06/09/26,87.5,10,0,15,3,No
"PEREZ, Joseph",Mid Grade 1 (448),448,Early Grade 1,Grade 2,Emerging Grade 1,Emerging Grade 1,40,56,06/20/26,94.8,8,4,35,3,Yes
"DELGADO, Joshua",Mid K (357),357,Emerging K,Mid K,Early K,Mid K,25,38,01/18/26,86.5,5,4,37,2,Yes
"ANDERSON, Naomi",Grade 6 (569),569,Grade 8,Grade 8,Grade 5,Grade 7,27,42,03/07/26,91.1,3,1,9,4,No
"THOMPSON, Kinsley",Late K (396),396,Early K,Emerging Grade 1,Mid K,Emerging Grade 1,25,35,02/19/26,85.6,10,1,1,3,No
"THOMAS, Jackson",Late Grade 1 (467),467,Early Grade 1,Mid Grade 1,Early Grade 1,Grade 2,27,46,06/13/26,95.8,10,2,0,4,No
"REYES, Liam",Grade 3 (502),502,Grade 2,Grade 2,Late Grade 1,Grade 3,24,29,01/26/26,97.8,10,0,45,2,No
"WALKER, Evelyn",Grade 2 (495),495,Late Grade 1,Grade 2,Grade 2,Grade 3,24,36,01/18/26,91.9,3,0,2,2,No
"DIAZ, Aubrey",Early Grade 1 (434),434,Emerging Grade 1,Late K,Emerging Grade 1,Late K,27,45,04/05/26,90.1,11,4,43,3,Yes
"REYES, Willow",Emerging Grade 1 (404),404,Late K,Mid K,Emerging Grade 1,Emerging Grade 1,22,37,01/12/26,97.0,6,3,38,2,Yes
"GREEN, Theodore",Late K (386),386,Emerging Grade 1,Mid K,Late K,Early Grade 1,29,45,01/09/26,94.2,7,4,45,5,Yes
"CHAVEZ, Aiden",Grade 2 (485),485,Grade 2,Late Grade 1,Grade 3,Grade 3,43,63,01/04/26,86.7,4,0,5,3,No
"JIMENEZ, Benjamin",Grade 2 (492),492,Grade 2,Grade 3,Grade 3,Grade 3,42,60,05/26/26,92.3,6,3,15,3,Yes
"ALLEN, Christopher",Early Grade 1 (436),436,Late Grade 1,Late Grade 1,Emerging Grade 1,Mid Grade 1,22,40,05/19/26,92.5,3,0,5,3,No
"ALVAREZ, Aiden",Grade 8 (601),601,Grade 7,Grade 8,Grade 7,Grade 6,23,29,03/12/26,100.0,0,1,18,4,No
"MARTIN, Christopher",Mid K (363),363,Emerging K,Early K,Emerging K,Early K,32,37,06/14/26,86.6,13,1,4,4,No
"RAMOS, Thomas",Emerging K (193),193,Emerging K,Emerging K,Emerging K,Emerging K,20,38,02/25/26,90.6,15,2,44,5,No
"JACKSON, Dylan",Late Grade 1 (475),475,Early Grade 1,Late Grade 1,Early Grade 1,Mid Grade 1,21,27,05/25/26,93.6,9,0,27,4,No
"NELSON, Anthony",Late Grade 1 (469),469,Grade 3,Grade 3,Late Grade 1,Mid Grade 1,33,43,03/03/26,84.6,7,0,13,3,Yes
"ROJAS, Ava",Late K (398),398,Early Grade 1,Early K,Emerging Grade 1,Emerging Grade 1,30,47,04/06/26,93.1,10,1,17,2,No
"DAVIS, Isabella",Mid Grade 1 (451),451,Emerging Grade 1,Early Grade 1,Mid Grade 1,Early Grade 1,37,45,01/07/26,88.1,5,0,35,3,No
"GUERRERO, Noah",Mid K (374),374,Emerging Grade 1,Emerging K,Emerging Grade 1,Late K,21,27,03/03/26,90.2,10,0,18,5,No
"MORENO, Lincoln",Mid K (368),368,Mid K,Early K,Emerging K,Mid K,33,41,05/26/26,89.9,9,2,30,4,No
"DELGADO, Noah",Early K (350),350,Emerging K,Emerging K,Early K,Early K,45,54,06/06/26,92.7,10,5,38,4,Yes
"BROWN, Maverick",Emerging Grade 1 (405),405,Emerging Grade 1,Emerging Grade 1,Emerging Grade 1,Mid Grade 1,33,39,06/25/26,90.1,7,5,38,2,Yes
"RAMIREZ, Abigail",Mid Grade 1 (456),456,Emerging Grade 1,Emerging Grade 1,Early Grade 1,Mid Grade 1,37,44,04/04/26,90.4,9,0,4,3,No
"MILLER, Luke",Emerging K (145),145,Mid K,Early K,Early K,Early K,28,47,06/05/26,96.0,8,1,23,5,No
"JACKSON, Ellie",Grade 3 (505),505,Grade 4,Grade 3,Grade 5,Grade 5,30,46,01/22/26,91.2,9,2,43,1,No
"SANCHEZ, Hudson",Grade 2 (488),488,Grade 4,Mid Grade 1,Late Grade 1,Mid Grade 1,29,46,02/19/26,92.5,8,0,29,4,No
"LEWIS, Julian",Emerging Grade 1 (418),418,Early Grade 1,Mid K,Mid K,Late K,43,51,04/25/26,88.2,10,0,21,5,No
"MUNOZ, Leo",Late Grade 1 (476),476,Early Grade 1,Late Grade 1,Grade 2,Early Grade 1,37,46,04/05/26,91.1,6,0,38,4,No
"DAVIS, Ava",Grade 2 (496),496,Late Grade 1,Mid Grade 1,Late Grade 1,Mid Grade 1,44,62,03/09/26,92.6,6,0,25,2,No
"HARRIS, Willow",Grade 4 (537),537,Grade 3,Grade 4,Grade 3,Grade 2,22,40,03/25/26,94.0,9,3,30,4,Yes
"RAMOS, Isaiah",Grade 7 (594),594,Grade 7,Grade 8,Grade 5,Grade 6,22,31,03/22/26,100.0,5,1,47,4,No
"CHAVEZ, Sofia",Grade 4 (525),525,Grade 5,Grade 4,Grade 2,Grade 5,28,33,04/27/26,97.3,3,0,37,2,No
"MORENO, Chloe",Late K (398),398,Mid K,Early Grade 1,Emerging Grade 1,Mid K,31,42,02/22/26,89.9,9,2,1,3,No
"KING, Zoey",Grade 3 (504),504,Grade 4,Grade 4,Grade 4,Grade 4,31,47,05/14/26,88.9,6,0,11,4,No
"CASTILLO, Camila",Early Grade 1 (426),426,Late Grade 1,Mid Grade 1,Mid Grade 1,Early Grade 1,41,59,06/10/26,89.5,2,3,6,5,Yes
"RIVERA, Amelia",Mid Grade 1 (460),460,Late Grade 1,Emerging Grade 1,Late Grade 1,Grade 2,37,45,06/15/26,86.8,8,2,26,3,No
"CLARK, Elena",Early Grade 1 (424),424,Emerging Grade 1,Mid Grade 1,Late K,Early Grade 1,45,64,04/27/26,88.4,4,0,23,5,No
"ESTRADA, Lincoln",Mid K (377),377,Mid K,Mid K,Late K,Early K,20,38,01/01/26,95.0,11,3,33,5,Yes
"SMITH, Thomas",Late K (399),399,Emerging Grade 1,Mid K,Early Grade 1,Emerging Grade 1,26,43,01/26/26,93.3,8,4,24,5,Yes
"MOORE, Jackson",Grade 4 (537),537,Grade 3,Grade 5,Grade 3,Grade 2,42,51,05/04/26,91.0,3,2,40,5,No
"RAMOS, Christopher",Grade 6 (567),567,Grade 4,Grade 4,Grade 4,Grade 7,20,29,01/20/26,94.0,0,0,24,1,No
"CRUZ, Kinsley",Grade 7 (592),592,Grade 6,Grade 6,Grade 6,Grade 7,26,38,06/25/26,97.4,3,0,3,3,No
"RODRIGUEZ, Logan",Mid Grade 1 (459),459,Emerging Grade 1,Emerging Grade 1,Late Grade 1,Grade 2,23,31,02/10/26,92.1,10,0,23,5,No
"YOUNG, Elijah",Grade 2 (494),494,Mid Grade 1,Grade 3,Mid Grade 1,Late Grade 1,41,59,04/11/26,91.2,5,0,19,1,No
"RAMIREZ, Jackson",Mid Grade 1 (442),442,Emerging Grade 1,Mid Grade 1,Mid Grade 1,Late Grade 1,39,44,02/17/26,91.8,1,0,1,4,No
"WRIGHT, Jaxon",Grade 2 (487),487,Grade 2,Mid Grade 1,Late Grade 1,Mid Grade 1,30,39,02/03/26,92.4,0,0,30,3,No
"JONES, Mia",Late Grade 1 (470),470,Grade 2,Grade 2,Grade 2,Grade 3,32,43,03/06/26,94.7,13,2,25,2,No
"ROBERTS, Maverick",Mid K (362),362,Late K,Late K,Late K,Late K,39,52,03/20/26,92.1,12,0,22,3,No
"RAMIREZ, Ezra",Emerging Grade 1 (402),402,Mid Grade 1,Emerging Grade 1,Mid Grade 1,Early Grade 1,29,45,04/01/26,95.1,13,1,11,3,No
"MUNOZ, Isabella",Mid Grade 1 (452),452,Early Grade 1,Mid Grade 1,Emerging Grade 1,Emerging Grade 1,30,35,06/11/26,93.1,12,0,14,4,No
"ESTRADA, Hazel",Mid Grade 1 (457),457,Early Grade 1,Emerging Grade 1,Grade 2,Mid Grade 1,42,49,05/21/26,87.8,11,0,20,3,No
"ALLEN, Mateo",Emerging Grade 1 (409),409,Early Grade 1,Mid K,Mid K,Early Grade 1,25,40,05/13/26,91.1,10,0,50,5,No
"LEWIS, Aiden",Mid K (368),368,Emerging K,Emerging Grade 1,Emerging Grade 1,Emerging K,30,35,01/16/26,94.3,13,2,17,3,No
"SMITH, Elena",Emerging Grade 1 (402),402,Early Grade 1,Emerging Grade 1,Early Grade 1,Early Grade 1,40,48,03/20/26,92.7,10,2,8,2,No
"THOMPSON, Penelope",Mid K (358),358,Early K,Mid K,Emerging Grade 1,Emerging K,42,48,03/26/26,90.7,10,0,16,3,No
"ANDERSON, Joshua",Mid K (361),361,Early K,Emerging Grade 1,Late K,Emerging K,24,39,02/25/26,84.8,7,3,40,4,Yes
"SCOTT, Harper",Early Grade 1 (439),439,Mid Grade 1,Mid Grade 1,Early Grade 1,Early Grade 1,44,64,02/03/26,91.4,11,0,35,5,No
"ALVAREZ, Riley",Late Grade 1 (463),463,Grade 2,Early Grade 1,Mid Grade 1,Early Grade 1,41,52,04/27/26,90.2,10,0,37,4,No
"SMITH, Claire",Grade 2 (490),490,Grade 3,Late Grade 1,Grade 4,Mid Grade 1,24,36,03/13/26,99.4,6,0,49,3,No
"CONTRERAS, Ethan",Late K (390),390,Early Grade 1,Early K,Mid K,Emerging Grade 1,23,31,02/01/26,91.9,8,0,42,4,No
"AGUILAR, Nora",Early K (326),326,Mid K,Late K,Early K,Early K,32,50,05/11/26,91.5,11,0,41,3,No
"MORENO, Theodore",Mid K (368),368,Early K,Emerging Grade 1,Mid K,Emerging Grade 1,39,59,05/14/26,90.5,10,0,7,3,No
"LOPEZ, Mateo",Early Grade 1 (428),428,Late K,Late Grade 1,Late K,Early Grade 1,27,44,04/13/26,95.5,12,3,17,4,Yes
"ALVAREZ, Ella",Late K (390),390,Early Grade 1,Late K,Early K,Early K,25,45,06/10/26,93.2,6,0,43,2,No
"WILLIAMS, Scarlett",Grade 4 (525),525,Grade 2,Grade 5,Grade 5,Grade 4,20,30,03/03/26,97.0,11,0,22,5,No
"GARCIA, Andrew",Emerging Grade 1 (408),408,Early Grade 1,Mid K,Mid K,Mid K,38,52,02/17/26,86.0,9,2,6,3,No
"YOUNG, Savannah",Grade 2 (498),498,Grade 2,Grade 3,Grade 2,Grade 2,34,39,03/10/26,91.8,1,1,38,4,No
"SCOTT, Joseph",Late Grade 1 (461),461,Mid Grade 1,Grade 2,Mid Grade 1,Mid Grade 1,31,51,01/08/26,88.7,6,1,13,4,No
"ANDERSON, Sebastian",Mid Grade 1 (449),449,Grade 2,Late Grade 1,Grade 2,Early Grade 1,28,44,03/13/26,86.1,4,0,12,1,No
"BROWN, Jaxon",Grade 3 (504),504,Grade 4,Grade 4,Grade 5,Grade 3,29,37,01/16/26,95.5,6,1,33,5,No
"HILL, Nova",Late Grade 1 (470),470,Grade 2,Late Grade 1,Early Grade 1,Late Grade 1,20,39,01/07/26,92.0,12,0,19,1,No
"GARCIA, Nora",Emerging K (135),135,Early K,Early K,Mid K,Mid K,44,53,01/23/26,87.3,20,0,37,5,No
"ROJAS, Aubrey",Emerging K (190),190,Emerging K,Mid K,Mid K,Early K,33,50,01/09/26,92.1,9,0,27,4,No
"MITCHELL, Penelope",Early K (333),333,Mid K,Early K,Late K,Early K,29,43,01/10/26,85.3,8,1,24,5,No
"GOMEZ, Aurora",Early K (349),349,Mid K,Mid K,Late K,Mid K,33,52,04/14/26,82.8,12,0,49,3,Yes
"ORTIZ, Christian",Mid Grade 1 (450),450,Early Grade 1,Grade 2,Grade 2,Mid Grade 1,24,38,01/25/26,93.1,7,2,29,5,No
"CLARK, Jaxon",Grade 3 (503),503,Late Grade 1,Grade 3,Late Grade 1,Grade 3,39,47,03/19/26,91.3,7,0,47,4,No
"PEREZ, Claire",Late Grade 1 (477),477,Mid Grade 1,Grade 3,Grade 2,Mid Grade 1,27,36,03/21/26,89.4,16,0,31,4,No
"REYES, Grace",Emerging K (139),139,Mid K,Emerging K,Mid K,Emerging K,27,38,01/16/26,92.1,11,0,7,3,No
"JIMENEZ, Brooklyn",Grade 3 (518),518,Grade 3,Grade 5,Grade 4,Grade 5,23,41,02/21/26,95.6,7,1,15,3,No
"ADAMS, Adrian",Early K (351),351,Mid K,Mid K,Emerging K,Late K,31,44,04/13/26,88.7,9,1,27,2,No
"CLARK, Wyatt",Early K (345),345,Emerging K,Mid K,Emerging K,Late K,21,37,02/15/26,91.7,8,0,10,3,No
"ALVAREZ, Lincoln",Late K (397),397,Emerging Grade 1,Early Grade 1,Early K,Mid K,40,49,03/21/26,89.9,7,2,50,2,No
"NUNEZ, Aaliyah",Grade 5 (543),543,Grade 6,Grade 6,Grade 6,Grade 7,41,51,05/23/26,99.9,4,0,8,4,No
"MITCHELL, Anna",Late K (400),400,Emerging Grade 1,Early K,Early K,Early K,43,53,02/04/26,88.6,6,2,20,4,No
"GUERRERO, Maverick",Emerging K (144),144,Mid K,Early K,Early K,Emerging K,21,34,01/02/26,89.3,10,2,38,4,No
"CASTILLO, Emma",Mid K (378),378,Late K,Late K,Early K,Emerging Grade 1,37,48,02/09/26,85.3,10,0,47,2,No
"MITCHELL, Mia",Emerging K (271),271,Emerging K,Emerging K,Emerging K,Emerging K,20,36,04/19/26,87.5,10,0,46,5,No
"GREEN, Kinsley",Emerging Grade 1 (407),407,Mid Grade 1,Early Grade 1,Mid Grade 1,Emerging Grade 1,31,40,01/15/26,88.4,10,0,5,2,No
"NUNEZ, Jaxon",Emerging K (227),227,Emerging K,Emerging K,Mid K,Mid K,30,35,02/27/26,94.9,8,0,45,3,No
"ESTRADA, Alexander",Emerging K (247),247,Emerging K,Mid K,Mid K,Mid K,29,46,05/02/26,82.5,9,1,16,4,Yes
"BROWN, Noah",Late K (387),387,Late K,Early K,Mid K,Mid K,37,52,06/02/26,90.5,11,4,39,4,Yes
"LOPEZ, Aaliyah",Late K (383),383,Emerging Grade 1,Early Grade 1,Early Grade 1,Early K,37,57,02/09/26,90.2,8,1,14,4,No
"WALKER, Aurora",Mid K (363),363,Emerging K,Emerging K,Emerging K,Early K,37,54,06/22/26,89.5,6,0,49,3,No
"THOMPSON, Benjamin",Late Grade 1 (478),478,Mid Grade 1,Early Grade 1,Grade 2,Early Grade 1,39,55,03/07/26,89.1,13,0,5,4,No
"JACKSON, Victoria",Grade 2 (498),498,Grade 4,Mid Grade 1,Mid Grade 1,Late Grade 1,21,28,01/05/26,91.1,8,0,38,4,No
"DELGADO, Riley",Early K (346),346,Late K,Emerging K,Emerging K,Emerging K,28,39,04/23/26,88.9,7,3,14,3,Yes
"NELSON, Elena",Mid K (376),376,Early K,Emerging Grade 1,Mid K,Mid K,42,50,01/12/26,93.6,7,1,17,2,No
"SCOTT, Evelyn",Mid K (379),379,Emerging Grade 1,Early K,Emerging K,Mid K,43,52,01/08/26,88.4,6,1,7,1,No
"VARGAS, Noah",Mid K (368),368,Mid K,Emerging K,Emerging K,Mid K,39,56,04/01/26,91.7,8,0,13,3,No
"THOMPSON, Charles",Early Grade 1 (430),430,Late K,Late Grade 1,Early Grade 1,Late K,39,54,03/26/26,91.6,7,0,46,5,No
"LEE, Aurora",Grade 2 (482),482,Mid Grade 1,Grade 4,Grade 3,Grade 2,37,56,04/19/26,92.4,2,0,24,4,No
"CRUZ, Samuel",Grade 5 (549),549,Grade 5,Grade 3,Grade 4,Grade 7,29,44,05/13/26,97.5,7,0,16,5,No
"PHILLIPS, Maverick",Emerging K (178),178,Mid K,Mid K,Early K,Early K,25,44,04/01/26,85.5,12,5,30,4,Yes
"MUNOZ, Paisley",Late K (399),399,Early K,Late K,Early Grade 1,Early Grade 1,30,37,04/06/26,90.1,15,0,31,2,No
"CASTILLO, Ezra",Early K (324),324,Early K,Emerging K,Emerging K,Early K,41,60,05/11/26,93.8,11,0,45,5,No
"RODRIGUEZ, Henry",Late Grade 1 (472),472,Grade 3,Early Grade 1,Grade 3,Mid Grade 1,31,39,01/17/26,89.4,9,0,20,4,No
"MARTIN, Samantha",Emerging K (209),209,Early K,Emerging K,Emerging K,Early K,39,55,03/14/26,90.9,9,4,18,4,Yes
"WILSON, Alexander",Emerging K (138),138,Mid K,Emerging K,Emerging K,Mid K,26,41,05/23/26,89.3,7,1,22,5,No
"MITCHELL, Grayson",Emerging K (285),285,Emerging K,Early K,Mid K,Emerging K,22,34,05/17/26,92.8,11,2,34,4,No
"PEREZ, Skylar",Mid Grade 1 (457),457,Grade 2,Late Grade 1,Mid Grade 1,Mid Grade 1,26,40,02/11/26,92.4,13,0,29,3,No
"GUERRERO, James",Emerging Grade 1 (414),414,Emerging Grade 1,Mid K,Emerging Grade 1,Mid Grade 1,36,43,03/21/26,88.8,9,2,14,4,No
"BAKER, Benjamin",Mid K (369),369,Emerging Grade 1,Early K,Emerging Grade 1,Mid K,45,59,03/11/26,92.1,12,1,9,4,No
"ROMERO, Ezra",Grade 4 (535),535,Grade 2,Grade 3,Grade 2,Grade 5,28,48,06/04/26,95.2,7,0,44,3,No
"CRUZ, Isabella",Early Grade 1 (437),437,Mid Grade 1,Mid Grade 1,Early Grade 1,Emerging Grade 1,32,44,06/10/26,96.3,13,3,37,4,Yes
"GONZALEZ, Amelia",Emerging K (190),190,Early K,Early K,Mid K,Early K,43,61,03/25/26,87.0,11,0,49,4,No
"FLORES, Claire",Early K (321),321,Mid K,Late K,Late K,Mid K,34,44,05/24/26,83.1,6,0,19,4,Yes
"RAMIREZ, Mateo",Early Grade 1 (437),437,Late Grade 1,Late Grade 1,Mid Grade 1,Early Grade 1,30,47,03/25/26,92.3,10,2,47,5,No
"ALVAREZ, Kinsley",Emerging Grade 1 (409),409,Mid Grade 1,Mid Grade 1,Emerging Grade 1,Mid K,31,45,02/04/26,90.2,12,0,10,3,No
"DIAZ, Christian",Grade 5 (549),549,Grade 4,Grade 3,Grade 4,Grade 7,36,46,01/20/26,100.0,2,0,12,1,No
"WILSON, Emma",Early K (348),348,Late K,Early K,Late K,Mid K,23,31,04/14/26,87.9,10,0,17,4,No
"MILLER, James",Grade 3 (508),508,Late Grade 1,Grade 3,Grade 2,Grade 5,30,43,04/21/26,93.6,3,0,44,3,No
"THOMPSON, Noah",Emerging K (280),280,Mid K,Early K,Emerging K,Mid K,41,47,06/21/26,90.2,11,0,14,4,No
"ROBINSON, Aria",Early K (332),332,Late K,Mid K,Early K,Early K,40,47,05/28/26,88.9,8,1,31,4,No
"CASTILLO, Jack",Emerging K (276),276,Early K,Mid K,Early K,Mid K,38,50,06/12/26,84.2,11,0,19,5,Yes
"YOUNG, Aubrey",Emerging Grade 1 (413),413,Mid Grade 1,Emerging Grade 1,Mid Grade 1,Early Grade 1,29,37,02/04/26,97.2,8,2,26,5,No
"LEE, Charles",Emerging K (218),218,Early K,Mid K,Emerging K,Early K,42,59,06/05/26,89.1,7,2,31,4,No
"GUERRERO, Samantha",Emerging K (168),168,Mid K,Emerging K,Early K,Emerging K,37,52,03/22/26,87.4,13,1,25,3,No
"ROJAS, Leo",Late K (382),382,Late K,Emerging Grade 1,Emerging Grade 1,Mid K,38,48,05/07/26,90.7,8,5,39,3,Yes
"ADAMS, Caroline",Emerging K (284),284,Emerging K,Early K,Emerging K,Mid K,30,46,05/03/26,86.6,8,0,12,5,No
"THOMAS, Asher",Grade 4 (528),528,Grade 4,Grade 3,Grade 4,Grade 4,33,44,05/24/26,94.6,7,2,48,5,No
"KING, Amelia",Late K (396),396,Early K,Mid K,Late K,Late K,20,32,06/25/26,90.1,9,2,50,3,No
"CRUZ, Ellie",Grade 3 (509),509,Late Grade 1,Late Grade 1,Late Grade 1,Grade 5,43,61,01/01/26,93.8,3,2,6,4,No
"MORENO, Isaac",Grade 3 (510),510,Grade 3,Grade 4,Grade 5,Late Grade 1,29,42,04/07/26,100.0,12,0,24,3,No
"ROJAS, Mia",Grade 7 (598),598,Grade 7,Grade 8,Grade 7,Grade 6,32,37,04/24/26,94.1,7,0,6,4,No
"HERNANDEZ, Everly",Late K (388),388,Emerging Grade 1,Late K,Emerging Grade 1,Early Grade 1,23,37,03/05/26,93.4,2,0,10,3,No
